"SiO2"	"Al2O3"	"Fe2O3"	"CaO"	"MgO"	"Na2O"	"K2O"
24.63	5.7	2.68	34.33	1.33	0.24	0.98
35.53	5.89	3.56	26.82	2.48	0.4	1.04
12.92	2.44	1.01	45.24	0.99	0.14	0.46
16.39	3.51	1.44	42.17	1.07	0.18	0.61
19.93	3.73	1.54	39.89	1.12	0.16	0.7
16.84	3.9	1.58	41.43	1.03	0.25	0.9
19.78	4.22	1.81	39.31	1.15	0.27	0.93
15.35	3.14	1.33	43.67	0.7	0.22	0.62
17.58	3.39	1.68	41.8	1.01	0.18	0.84
15.41	3.06	1.47	43.17	1.07	0.15	0.55
24.57	4.75	2.46	38.71	1.29	0.17	0.91
16.03	3.34	1.44	42.84	0.91	0.3	0.77
14.05	2.98	1.22	44.43	0.97	0.18	0.56
16.59	3.41	1.54	42.08	1.15	0.29	0.73
27.57	5.92	2.24	32.63	1.33	0.38	0.97
13.81	3.04	1.33	44.09	0.81	0.18	0.63
16.72	3.53	1.89	41.8	1.14	0.23	0.78
25.01	4.48	2.05	35.96	1.14	0.25	0.8
13.85	2.61	1.2	44.97	0.94	0.14	0.48
20.55	4.44	2.02	38.42	1.18	0.15	0.74
14.33	3.31	1.24	43.54	1.04	0.25	0.68
18.03	4.21	1.74	40.22	1.1	0.32	0.78
14.23	3.1	1.22	43.96	0.86	0.14	0.58
17.89	3.9	1.56	41.2	0.96	0.2	0.7
46.08	9.66	6	3.65	6.13	0.19	3.53
53.1	16.41	6.3	4.38	5.06	0.14	3.67
55.6	14.71	6	3.65	6.13	0.18	3.5
0.03	0.34	0.24	54.67	0.88	0.03	0.06
7.26	2.22	0.94	47.89	1.89	0.1	0.19
5.56	1.49	0.62	50.83	0.96	0.13	0.2
7.14	1.49	0.56	49.61	0.96	0.1	0.14
51.11	18.55	5.83	3.83	6.95	0.19	3.68
2.88	1.13	0.52	52.31	0.76	0.08	0.16
5.1	1.61	0.68	50.38	1.18	0.06	0.1
5.63	1.48	0.6	50.34	1.13	0.06	0.19
12.77	2.67	1.14	44.99	1.16	0.18	0.36
10.63	2.5	1.04	46.42	1.03	0.19	0.36
6.01	1.14	0.6	50.46	0.96	0.06	0.11
8.31	1.91	0.88	48.67	0.78	0.1	0.37
12.15	2.24	1	45.97	0.83	0.2	0.52
16.44	3.68	1.48	38.56	3.7	0.26	0.8
14.67	2.4	1.08	44.36	0.88	0.16	0.33
13.06	2.68	1.2	44.95	0.81	0.2	0.41
16.62	3.77	1.56	41.4	1.26	0.29	0.63
14.02	2.46	1.1	44.43	0.88	0.19	0.45
20.88	5.99	2.56	36.59	1.34	0.43	0.98
13.8	2.49	1.04	45.01	0.78	0.14	0.31
13.13	2.74	1.2	45.06	0.88	0.16	0.33
12.8	2	0.82	46.35	0.81	0.17	0.3
14.72	3.61	1.48	43.37	1.03	0.21	0.47
14.65	3.67	1.4	43.16	1.03	0.23	0.48
13.69	2.95	1.26	44.46	0.81	0.21	0.49
11.81	2.31	1.06	46.31	0.75	0.21	0.43
11	2.27	1.04	46.67	0.81	0.18	0.39
12.53	2	0.94	46.14	0.95	0.15	0.32
9.65	2.02	0.9	47.52	0.76	0.14	0.31
11.91	2.16	0.92	46.04	0.78	0.24	0.58
14.1	3.4	1.2	43.42	0.96	0.28	0.61
11.98	2.41	1	46.11	0.71	0.11	0.18
14	2.98	1.14	42.64	0.96	0.29	0.52
11.7	2.39	0.94	46.36	0.71	0.1	0.21
12.99	2.97	1.26	44.52	0.98	0.26	0.72
16.5	3.05	1.22	42.36	0.86	0.28	0.72
15.05	2.85	1.22	43.38	0.85	0.23	0.69
14.68	3.59	1.5	42.91	0.91	0.26	0.71
16.29	3.62	1.5	42.04	0.86	0.23	0.66
17.13	3.41	1.72	41.48	0.83	0.24	0.67
19.12	4.37	1.5	39.6	1.1	0.25	0.7
15.71	3.53	1.84	41.73	1.06	0.3	0.97
21.4	5.32	2.32	36.12	2.17	0.27	1.03
44.1	2.18	1	28.2	0.76	0.33	0.79
18.62	5.26	2.16	38.81	1.26	0.26	0.71
19.17	4.2	1.88	39.24	1.01	0.28	0.98
26.8	3.32	1.4	36.27	1.01	0.28	0.8
29.63	3.68	1.84	33.95	1.09	0.29	0.75
18.42	4.33	2.24	38.78	1.37	0.27	0.93
12.39	2.69	1.24	45.38	0.89	0.19	0.39
11.11	2.36	1.06	47.01	0.83	0.18	0.37
14.42	3.25	1.36	44.01	1.01	0.21	0.52
14.89	3.4	1.46	43.59	0.89	0.22	0.5
17.84	3.2	1.4	41.96	0.93	0.22	0.45
16.66	3.49	1.52	42.24	1.01	0.21	0.52
9.16	2.26	0.96	48.23	0.78	0.19	0.39
14.03	3.51	1.46	43.74	0.97	0.22	0.57
13.14	3.06	1.32	44.89	0.95	0.24	0.62
16.45	3.9	1.9	41.9	1.11	0.29	0.77
14.69	2.92	1.4	44.14	0.89	0.17	0.37
15.38	3.29	1.64	42.99	1.01	0.2	0.45
27.47	3.03	1.36	37.1	0.81	0.23	0.52
18.29	2.52	1.28	42.6	0.85	0.22	0.48
15.75	3.1	1.48	42.93	1.09	0.2	0.49
15.82	3.14	1.44	43.13	1.03	0.19	0.45
14.19	2.92	1.4	44.14	1.01	0.2	0.43
15.26	3.33	1.48	43.24	0.99	0.2	0.43
14.66	2.77	1.44	44.03	1.07	0.21	0.5
11.92	2.93	1.22	45.62	0.95	0.19	0.38
12.5	2.57	1.16	45.82	0.91	0.18	0.31
19.26	3.92	1.46	40.58	1.01	0.22	0.54
14.15	2.92	1.16	44.47	0.83	0.18	0.38
18.55	4.36	1.74	40.38	1.09	0.19	0.43
12.37	2.35	1	46.27	0.62	0.2	0.41
15.83	3.25	1.28	43.16	0.89	0.18	0.4
15.51	2.92	1.24	43.51	0.92	0.16	0.41
14.28	2.83	1.28	44.41	0.87	0.19	0.37
15.39	3.08	1.5	43.31	0.93	0.21	0.45
13.38	2.85	1.22	44.91	0.97	0.19	0.38
14.59	2.9	1.14	44.29	0.89	0.19	0.37
18.5	4.08	1.48	40.68	1.03	0.19	0.39
13.56	3.1	1.14	44.71	0.83	0.2	0.43
11.35	2.22	0.97	47.1	0.7	0.18	0.38
14.71	3.23	1.4	43.7	1.09	0.15	0.41
11.72	2.22	0.98	46.71	0.77	0.16	0.38
3.95	1.25	0.62	51.75	1.27	0.21	0.47
5.33	1.68	0.76	50.41	1.05	0.17	0.38
15.24	2.58	1.11	43.87	1.06	0.18	0.45
8.28	1.79	0.84	48.63	0.91	0.19	0.41
12.77	2.66	1.05	45.23	0.98	0.23	0.49
16.65	3.66	1.5	41.8	1.21	0.22	0.5
14.16	2.67	1.16	44.39	0.91	0.25	0.55
13.62	2.58	1.3	44.71	0.86	0.24	0.54
13.05	2.44	1.04	45.51	0.88	0.2	0.36
10.66	2.21	1.02	46.88	0.83	0.21	0.45
13.45	2.58	1.4	44.85	0.73	0.23	0.52
13.13	2.92	1.34	44.64	1.01	0.2	0.44
14.49	3.04	1.34	43.87	0.96	0.24	0.54
13.01	2.93	1.26	44.6	0.98	0.19	0.34
12.23	2.59	1	45.9	0.73	0.19	0.37
13.66	3.34	1.36	43.97	1.06	0.2	0.37
13.61	3.06	1.26	44.39	1.01	0.21	0.39
13.77	2.84	1.22	44.57	0.85	0.25	0.49
15.63	3.5	1.48	42.88	0.98	0.25	0.49
16.82	3.46	1.5	42.15	1.06	0.2	0.38
18.5	3.85	1.62	40.26	1.1	0.56	0.97
15.98	2.95	1.29	42.92	0.81	0.43	0.73
13.31	2.37	1.09	44.99	0.83	0.36	0.65
13.62	2.55	1.19	44.85	0.89	0.5	0.78
11.71	2.6	1.08	45.99	0.79	0.38	0.64
15.99	3.53	1.41	42.54	0.86	0.48	0.96
14.89	3.12	1.26	43.33	0.99	0.44	0.83
6.57	1.19	0.61	50.07	0.91	0.15	0.4
7.89	1.14	0.65	49.09	1.09	0.13	0.4
17.59	3.54	1.57	41.23	1.16	0.54	0.88
16.33	3.44	1.47	42.27	1.06	0.54	0.88
17.51	3.86	1.6	40.98	1	0.53	0.94
13.89	2.8	1.22	44.63	0.97	0.4	0.72
14.07	2.79	1.21	44.24	0.98	0.42	0.81
17.01	3.1	1.28	42.23	0.88	0.51	0.91
11.31	2.57	1.11	46.23	0.96	0.35	0.78
15.58	1.67	0.88	44.36	1.11	0.22	0.57
16.21	2.88	1.34	42.7	0.95	0.49	0.8
12.81	2.46	1.05	45.52	0.74	0.45	0.64
12.18	2.5	1.06	46.04	0.77	0.41	0.66
13.49	2.75	1.14	44.64	1.02	0.41	0.69
7.8	2.07	0.85	48.45	1.01	0.37	0.58
18.72	3.76	1.47	40.59	1.14	0.49	1.03
9.86	2.18	0.9	47.44	0.83	0.31	0.65
19.29	3.19	1.31	40.89	0.95	0.5	0.92
12.8	2.45	1.18	45.23	0.93	0.36	0.71
6.03	1.56	0.84	49.8	0.92	0.19	0.5
23.81	5.71	2.44	34.8	1.46	0.4	1.18
30.25	6.1	2.63	30.67	1.68	0.47	1.26
30.91	6.23	2.62	30.37	1.7	0.46	1.13
29.16	5.59	2.35	32.48	1.49	0.43	1.06
24.07	5.53	2.36	35.13	1.57	0.33	1.08
25.04	5.6	2.36	34.56	1.65	0.34	0.97
27.15	6.88	2.72	32.02	1.61	0.38	1.21
31.68	6.43	3.05	29.62	1.37	0.35	1.22
27.58	5.98	2.38	32.94	1.4	0.49	1.22
27.63	6.02	2.44	32.71	1.38	0.52	1.3
29.66	6.27	2.97	31.06	1.28	0.22	1.2
29.91	6.25	2.96	31.31	1.67	0.46	1.2
24.68	6.1	2.52	34.36	1.36	0.38	1.36
24	5.58	2.26	35.54	1.44	0.29	1.07
19.1	3.6	1.57	40.32	1.06	0.3	0.83
15.46	3.2	1.14	42.71	1.09	0.38	0.79
15.36	2.84	1.23	44.16	1.17	0.23	0.57
15.19	2.75	1.24	43.6	1.02	0.22	0.56
17.39	3.74	1.57	41.22	0.91	0.36	0.77
15.99	3.41	1.37	42.4	0.96	0.37	0.75
18.16	4.04	1.72	40.58	1.02	0.28	0.84
15.42	2.9	1.28	43.43	0.71	0.29	0.61
15.2	1.47	1.14	44.05	1.71	0.32	0.38
19.36	1.33	1.05	41.61	1.76	0.22	0.34
25.94	6.01	2.45	33.68	1.53	0.64	1.19
24.03	5.26	2.38	35.2	1.71	0.49	1.12
25.02	5.35	2.41	34	1.65	0.52	1.21
25.37	5.75	2.5	33.89	1.73	0.49	1.22
25.08	6.41	2.71	32.84	1.81	0.4	1.85
15.01	3.11	1.3	43.54	0.86	0.42	0.74
15.2	3.05	1.2	43.51	1.14	0.23	0.62
16.95	3.49	1.44	41.67	0.95	0.33	0.6
15.13	3.17	1.27	43.04	1.03	0.28	0.53
15.28	2.95	1.35	43.53	0.75	0.27	0.59
14.97	2.94	1.33	43.83	0.73	0.65	0.59
13.92	2.69	1.21	44.72	0.71	0.3	0.56
20.37	4.16	1.78	39.12	1.17	0.39	0.88
18.11	4.06	1.68	40.64	1.04	0.48	0.84
16.32	3.6	1.58	42.09	1.08	0.37	0.61
18.6	3.8	1.73	39.76	1.2	0.35	0.98
19.71	3.53	1.73	39.85	1	0.4	0.83
17.62	3.8	1.45	41.27	1.08	0.24	0.77
16.54	3.54	1.49	42.18	0.86	0.3	0.7
17.73	3.78	1.6	41.49	0.89	0.4	0.77
16.15	3.51	1.53	42.52	0.82	0.33	0.71
18.45	3.53	1.55	40.85	0.93	0.48	0.76
15.01	2.8	1.22	43.71	0.81	0.39	0.66
14.06	2.75	1.16	44.44	1	0.38	0.62
15.68	2.89	1.21	43.26	0.97	0.37	0.65
13.8	2.88	1.15	44.31	0.98	0.44	0.7
15.73	3.05	1.36	42.65	1.03	0.39	0.67
14.62	3.16	1.34	43.26	0.95	0.36	0.7
13.7	2.85	1.23	44.15	0.92	0.34	0.66
13.7	2.63	1.15	44.64	0.96	0.46	0.6
15.1	3.1	1.32	43.33	0.97	0.39	0.68
16.99	3.46	1.48	41.68	1.06	0.49	0.79
14.85	2.96	1.23	43.53	0.93	0.41	0.63
13.98	2.82	1.13	44.38	0.82	0.35	0.64
15.78	2.91	1.19	43.2	0.8	0.37	0.67
14.94	2.49	1.12	44.04	0.89	0.34	0.6
15.78	2.92	1.2	41.85	1.02	0.22	0.56
12.68	2.59	1.04	43.81	1.06	0.24	0.5
15.99	2.65	1.24	42.2	1.09	0.21	0.55
16.73	3.34	1.33	41.99	1	0.39	0.55
13.08	2.37	1.01	45.19	1.02	0.31	0.4
17.47	3.3	1.42	41.56	1.15	0.54	0.61
14.58	2.63	1.08	44.31	0.92	0.36	0.52
15	2.29	1	44.23	0.91	0.33	0.51
15.29	2.56	1.09	43.89	1.02	0.39	0.69
13.34	2.79	1.13	44.91	0.72	0.44	0.67
15.2	3.04	1.23	43.35	0.97	0.37	0.68
13.82	2.96	1.19	44.03	1.13	0.34	0.71
12.64	2.67	1.04	45.4	0.74	0.33	0.58
15.93	3.22	1.26	42.77	0.99	0.43	0.72
16.53	2.82	1.14	42.91	0.95	0.44	0.72
13	2.74	1.14	44.82	0.93	0.34	0.56
15.54	3.21	1.27	42.7	1.05	0.4	0.68
12.57	2.7	1.09	45.03	1.01	0.33	0.61
12.7	2.47	1.01	45.36	0.85	0.32	0.53
15.84	3.05	1.29	42.16	1.4	0.36	0.65
13.06	2.65	1.13	44.84	0.93	0.29	0.6
12.52	2.42	1.03	45.56	0.81	0.33	0.57
12.31	2.2	0.92	46.19	0.94	0.19	0.46
13.9	2.65	1.07	44.75	0.99	0.23	0.58
15.32	2.83	1.14	43.64	1.02	0.24	0.67
18.36	4.25	1.88	40	1.22	0.46	0.92
16.25	3.89	1.64	41.73	1.05	0.5	0.88
20.57	4.38	1.89	38.67	1.47	0.46	0.92
17.18	3.97	1.67	40.42	1.19	0.51	0.87
20.02	4.27	1.72	40.39	1.41	0.22	0.85
16.44	3.46	1.4	42.32	1.22	0.23	0.65
18.67	4.33	1.87	39.44	1.09	0.22	0.88
17.55	3.71	1.57	41.26	0.51	0.24	0.72
19.41	4.1	1.85	39.62	1.22	0.29	0.85
16.89	3.82	1.67	41.7	1.06	0.36	0.79
24.17	5.05	2.19	36.25	0.87	0.15	0.99
23.91	5.25	2.43	36.01	1.24	0.5	1.03
23.27	4.68	1.94	37	1.39	0.39	0.95
21.9	4.28	1.99	38.12	1.09	0.29	0.88
17.63	3.6	1.56	41.52	0.87	0.38	0.72
17.58	3.62	1.48	41.48	1.27	0.36	0.66
17.02	3.87	1.53	41.45	1.25	0.44	0.69
16.03	3.12	1.21	43.03	0.94	0.35	0.54
17.58	3.62	1.42	41.62	1.16	0.41	0.66
16.61	3.35	1.23	42.85	0.84	0.39	0.62
19.52	3.87	1.61	39.9	1.14	0.44	0.81
16.9	3.11	1.34	42.51	0.81	0.41	0.68
14.21	2.99	1.3	44.47	0.9	0.43	0.62
14.81	3.12	1.26	43.6	0.92	0.33	0.63
11.4	2.54	0.96	46.52	0.87	0.3	0.5
12.95	2.73	1.03	45.35	0.88	0.32	0.57
